Airline,Status,Los Angeles,Phoenix,San Diego,San francisco,Seattle
Alaska,On time,497,221,212,503,1841
Alaska,Delayed,62,12,20,102,305
AM west,On time,694,4840,383,320,201
AM west,Delayed,117,415,65,129,61
